event_id,begin_lat,begin_lon
5537602,316945373,-1065808663
5552827,310521253,-1048341131
5553150,349650672,-1021767717
5560517,325136818,-949236195
5552341,32301791,-1001716224
5575119,296927937,-949666712
5562952,307923657,-94635355
5572702,293567103,-1000428983
5580373,362779026,-1010967383
5563694,32345722,-9995658
5565579,304985349,-999901749
5566114,298336753,-957155083
5572704,29303852,-9981846
5562954,298474198,-944106116
5572703,288657619,-993882406
5572705,288656324,-1000424311
5565785,327790011,-980863807
5572706,284226823,-1000351413
5572696,307036481,-989381183
5575120,293302075,-950811044
5575121,291807978,-960271086
5575122,287535572,-9650727
5572697,307302501,-984248217
5563689,318293635,-1002559491
5563691,317456255,-997398457
5568651,304985349,-999901749
5568652,313954638,-1009704695
5568653,313037569,-1012626604
5568646,32297455,-99706608
5575103,332338908,-984532185
5563692,327355859,-996348852
5607902,300540795,-982844535
5610773,315338556,-949199013
5588120,314767883,-989117979
5602401,30525346,-99662491
5601861,3242581,-99946753
5587882,30709254,-98658598
5588149,323960671,-979823385
5593902,31684369,-99376762
5593904,317635834,-992168996
5587934,323442432,-976325414
5587937,317168321,-983959623
5587880,300357497,-996185525
5587947,32696682,-97798895
5591365,32391703,-97464216
5608125,32480327,-99916324
5598722,332118099,-979332065
5592997,312168328,-996280354
5597923,327837776,-946571686
5592998,312051744,-9903435
5592994,30397821,-99790501
5592995,307193286,-995050642
5592996,308988766,-1000811191
5607906,30326074,-980519918
5613901,340231686,-988284588
5608008,297618659,-1017918766
5599954,293476809,-971812113
5601979,323064404,-10120319
5601749,3225364,-99798878
5595956,30629792,-99828581
5595562,29856068,-95460675
5595563,2934431,-94813927
5608133,299273588,-989482882
5597421,29731971,-95072276
5608134,30055234,-99178171
5609012,29612487,-9803334
5609013,302404351,-977475718
5609014,306543936,-978834318
5596123,307193286,-995050642
5601855,31181442,-98786506
5601856,31701147,-99581299
5607901,302195266,-986394924
5608135,30386693,-98422797
5608136,307302501,-984248217
5608138,294372794,-987426069
5608139,293900821,-993901154
5608140,29372045,-99796328
5608141,303167926,-992267794
5608142,29815936,-986036372
5608143,30732852,-98639197
5599951,290986015,-97646624
5608553,322965071,-990775533
5608130,29729382,-994719321
5608131,299566827,-1005083731
5608132,298526283,-1001131811
5599971,30786739,-98487806
5595195,29812037,-95111678
5626883,31099263,-97508326
5619996,29320428,-98282204
5672614,289445729,-981636951
5629955,320622112,-967544586
5672611,2928636,-98510144
5672612,296114733,-982524012
5672613,29161749,-983487695
5672508,29409804,-96873336
5629524,3206754,-96400737
5672496,29925078,-98237155
5667905,298474198,-944106116
5672511,30260469,-97659024
5672520,29895922,-972247481
5672519,301027407,-976178344
5672522,30085057,-98212378
5672523,30020006,-97794888
5672046,29979099,-95151972
5672047,30328716,-957443533
5672516,294469168,-977755293
5672491,301027407,-976178344
5672498,29934442,-96769153
5672500,29476567,-97516556
5672501,29588055,-9781222
5672502,29969295,-97969497
5672503,28866326,-97977737
5672504,28852773,-97815794
5672507,29415508,-96846523
5672492,2928636,-98508771
5672495,2976716,-97700961
5667897,29747213,-94215092
5672608,29761539,-97924305
5672609,29497067,-9763057
5672610,29039295,-97213759
