YEAR,COMMUNITY.EXPECTATION,COMMUNITY.LEADERS,COUNTRY,DATAVIS.EDU,DATAVIS.EDU.METHOD,DATAVIS.TIME,EDU.BACKGROUND,EDU.MAJOR,EXPERIENCE.DATAVIS.YEARS,FREELANCE.OR.CONSULTANT,GENDER,JOB.DATASCI.HOURS,JOB.DATAVIS.AUDIENCE,JOB.DATAVIS.AUDIENCEDATAVISCONSUMPTION,JOB.DATAVIS.AUDIENCEDATAVISUSE,JOB.DATAVIS.AUDIENCEKNOWLEGE,JOB.DATAVIS.AUDIENCERELATIONSHIP,JOB.DATAVIS.CHARTSUSED,JOB.DATAVIS.EXPECTATIONS,JOB.DATAVIS.FATIGUE,JOB.DATAVIS.FOCUS,JOB.DATAVIS.GOALS,JOB.DATAVIS.HOURS,JOB.DATAVIS.INTENT,JOB.DATAVIS.LACKSKILLS,JOB.DATAVIS.LEADERSHIP.UNDERSTANDING,JOB.DATAVIS.NEWTOOLS,JOB.DATAVIS.ORGANIZATION,JOB.DATAVIS.PRESENTATION,JOB.DATAVIS.REACH,JOB.DATAVIS.RESOURCES,JOB.DATAVIS.TOOLCHOICE,JOB.DATAVIS.TOOLS,JOB.DATAVIS.USE,JOB.DESCRIPTION,JOB.DESIGN.HOURS,JOB.ENGINEERING.HOURS,JOB.IMPROVEMENT,JOB.PAY,JOB.PORTFOLIO.HOURS,JOB.PREPWORK.HOURS,JOB.SECTOR,LGBTQ,SPOKEN.LANGUAGE,REGION,TOTAL.HOURS,JOB.DESIGN.HOURS.PERC,JOB.DATASCI.HOURS.PERC,JOB.DATAVIS.HOURS.PERC,JOB.PREPWORK.HOURS.PERC,JOB.PORTFOLIO.HOURS.PERC,JOB.ENGINEERING.HOURS.PERC
2017,NA,NA,_,Mostly Self-Taught,NA,Much more,BACHELORS,NA,4,NA,MAN,NA,Analysts;Engineers;Executives,Monthly,ANALYSIS;SUMMARIZATION,MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Infographics,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Embedded in a tool;Dashboard;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Microstrategy,Business Intelligence Tools,NA,NA,NA,Creativity,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,538;Upshot;Nathan Yau,_,Equal Parts School and Self-Taught,NA,Much more,MASTERS,NA,6,NA,MAN,NA,Analysts;Executives,Monthly,ANALYSIS;SUMMARIZATION,MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau;Plotly;D3;Other Javascript,Business Intelligence Tools,NA,NA,NA,NA,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,Alberto Cairo,_,Equal Parts School and Self-Taught,NA,Same,BACHELORS,NA,4,NA,NA,NA,General Public,Monthly,SUMMARIZATION;LEARNING;RESEARCH,MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Flow Diagram,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Summary/Overview;Communication;Exploration,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Static Web Page;Documents,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;Qlik;D3;Vega,General charting libraries,NA,NA,NA,Easier access to CMS,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Less pontificating and more application to the real world.,Alberto Cairo,_,Equal Parts School and Self-Taught,NA,Same,BACHELORS,NA,10,NA,MAN,NA,General Public;Analysts;Engineers;Product Managers;Project Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,MODERATE;EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Infographics;Network Diagram;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,BOTH,Embedded in a tool;Dashboard;Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;Plotly;D3;Leaflet;WebGL;Highcharts;Other Javascript;ggplot;Other R,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Effective executive level visualization,Alberto Cairo,_,Mostly Self-Taught,NA,Much more,BACHELORS,NA,4,NA,MAN,NA,Analysts;Product Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING,EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Scrollytelling;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau;Microstrategy;Power BI;Mapbox,Business Intelligence Tools,NA,NA,NA,Data quality,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Theory & principles,Alberto Cairo,_,Mostly Self-Taught,NA,More,MASTERS,NA,10,NA,MAN,NA,Analysts;Medical Professionals;Project Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING;BUSINESS DECISION-MAKING,INTRO;MODERATE;EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;Power BI;ggplot,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,New data architecture,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,More about effective interactive/dynamic dashboards,Alberto Cairo,_,Mostly Self-Taught,NA,More,MASTERS,NA,5,NA,MAN,NA,General Public;Engineers;Product Managers;Executives,Quarterly,ANALYSIS;SUMMARIZATION,MODERATE,CONSULTATIVE,Line Chart;Bar Chart,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Embedded in a tool;Dashboard;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,D3;Other Python;Looker,Business Intelligence Tools;General charting libraries,NA,NA,NA,Greater push to make our data visible.,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,more methodology sharing rather than just the final visualization- i.e. Propublica Nerds page or Data Stories podcast,Alberto Cairo,_,Mostly Self-Taught,NA,More,MASTERS,NA,3,NA,WOMAN,NA,General Public;Analysts;Scientists;Medical Professionals;Product Managers;Project Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,EXPERT,SUBORDINATE,Line Chart;Bar Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map;Raster Map;Flow Diagram,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Scrollytelling;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;Power BI;Other BI;D3;ggplot;Other R;Pandas;Other Python,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,NA,NA,NA,better organizational understanding of analytics,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,Alberto Cairo,_,Mostly Self-Taught,NA,Much more,MASTERS,NA,10,NA,MAN,NA,General Public;Analysts;Engineers;Scientists;Project Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;RESEARCH,MODERATE,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map;Raster Map;Flow Diagram,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,NA,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,NA,Embedded in a tool;Dashboard;Scrollytelling;Static Web Page;Documents;Presentations,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Excel;Tableau;Microstrategy;Power BI;Qlik;Other BI;D3;ggplot;Other R,NA,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Would like access to training in coding. But generally- there's plenty of great stuff out there -- need time off to expand- improve my skills.,Alberto Cairo,_,Mostly Self-Taught,NA,Less,MASTERS,NA,10,NA,MAN,NA,General Public,Daily,ENTERTAINMENT;SUMMARIZATION;IT'S A NEWS PRODUCT FOR THE GENERAL PUBLIC,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map;Often incorporate data into world;or regional maps,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Communication,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,SEPARATE DATA VISUALIZATION TEAM,Embedded in a tool;Dashboard;Static Web Page;Presented online at our website and sometimes posted on our multimedia accounts (Twitter etc).,NA,NA,WE HAVE A SET LIST OF TOOLS WE'RE EXPECTED TO USE FOR DATA VISUALIZATION.,Illustrator;Excel,GIS;Excel;Graphics,NA,NA,NA,More money from the specific skills I bring to the service.,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
