YEAR,REGION,NAME
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,LATIN AMERICA,LINE CHART
2017,LATIN AMERICA,LINE CHART
2017,LATIN AMERICA,LINE CHART
2017,US / CANADA,LINE CHART
2017,OCEANIA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,BAR CHART
2017,LATIN AMERICA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,NA,LINE CHART
2017,OCEANIA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,BAR CHART
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,NA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,OCEANIA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,NETWORK DIAGRAM
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,MIDDLE EAST & AFRICA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,RASTER MAP
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,OCEANIA,LINE CHART
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,NA,LINE CHART
2017,US / CANADA,LINE CHART
2017,EUROPE,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
2017,US / CANADA,LINE CHART
